Epoch;Time;Train_Loss;Val_Loss
1;164.65;7.9598;7.3520
2;163.38;6.7511;6.9126
3;159.83;6.4502;6.8584
4;160.32;6.3438;6.8299
5;160.58;6.2630;6.8132
6;160.88;6.1925;6.7895
7;164.91;6.1287;6.7726
8;166.83;6.0679;6.7528
9;168.16;6.0113;6.7345
10;169.04;5.9563;6.7017
11;165.82;5.9037;6.6849
12;168.17;5.8541;6.6600
13;169.76;5.8075;6.6359
14;166.10;5.7621;6.6163
15;159.96;5.7196;6.5912
16;155.98;5.6792;6.5761
17;153.14;5.6390;6.5643
18;154.24;5.6014;6.5369
19;159.72;5.5656;6.5154
20;162.03;5.5309;6.4975
21;164.30;5.4967;6.4779
22;163.05;5.4636;6.4626
23;159.78;5.4316;6.4442
24;164.98;5.4004;6.4245
25;165.57;5.3697;6.4138
26;169.36;5.3401;6.3975
27;168.19;5.3104;6.3812
28;168.86;5.2819;6.3646
29;166.48;5.2544;6.3552
30;166.82;5.2278;6.3308
31;165.22;5.2010;6.3191
32;163.33;5.1751;6.2985
33;163.81;5.1497;6.2871
34;161.85;5.1261;6.2770
35;163.52;5.1010;6.2630
36;164.53;5.0786;6.2515
37;161.94;5.0560;6.2321
38;164.81;5.0343;6.2187
39;160.33;5.0125;6.2108
40;161.47;4.9910;6.1879
41;163.16;4.9702;6.1824
42;171.34;4.9518;6.1676
43;170.56;4.9313;6.1748
44;168.95;4.9126;6.1568
45;167.95;4.8930;6.1379
46;174.60;4.8755;6.1339
47;173.17;4.8572;6.1229
48;171.74;4.8399;6.1145
49;170.61;4.8223;6.1011
50;164.29;4.8063;6.0988
51;161.64;4.7905;6.0820
52;163.14;4.7747;6.0809
53;164.29;4.7600;6.0657
54;162.92;4.7434;6.0592
55;159.78;4.7294;6.0441
56;163.24;4.7140;6.0442
57;164.88;4.7002;6.0279
58;164.98;4.6865;6.0280
59;168.28;4.6730;6.0182
60;166.43;4.6601;6.0058
61;165.61;4.6472;5.9959
62;163.85;4.6339;5.9793
63;163.78;4.6208;5.9784
64;162.91;4.6096;5.9814
65;165.49;4.5969;5.9546
66;165.40;4.5850;5.9544
67;162.96;4.5737;5.9493
68;156.87;4.5614;5.9425
69;155.46;4.5498;5.9341
70;157.37;4.5377;5.9285
71;156.31;4.5276;5.9209
72;157.93;4.5169;5.9121
73;154.56;4.5068;5.9069
74;157.21;4.4953;5.8979
75;158.72;4.4858;5.8926
76;157.33;4.4740;5.8806
77;159.33;4.4666;5.8734
78;165.53;4.4563;5.8646
79;165.56;4.4459;5.8680
80;162.05;4.4365;5.8648
81;163.50;4.4272;5.8448
82;167.86;4.4161;5.8420
83;171.69;4.4065;5.8344
84;171.07;4.3991;5.8310
85;167.86;4.3900;5.8154
86;153.74;4.3812;5.8109
87;155.61;4.3727;5.8093
88;153.06;4.3642;5.8112
89;154.40;4.3548;5.8000
90;153.01;4.3471;5.7949
91;148.43;4.3379;5.7971
92;155.21;4.3305;5.7918
93;157.20;4.3237;5.7728
94;152.25;4.3148;5.7615
95;152.12;4.3056;5.7602
96;162.08;4.2987;5.7716
97;160.14;4.2923;5.7569
98;163.21;4.2825;5.7586
99;163.79;4.2756;5.7448
100;159.86;4.2679;5.7450
