Epoch;Time;Train_Loss;Val_Loss
1;494.77;5.9057;5.5944
2;494.30;5.0144;5.1076
3;492.39;4.6188;4.8059
4;492.38;4.3524;4.6001
5;490.64;4.1473;4.3967
6;492.47;3.9888;4.2412
7;491.61;3.8612;4.1201
8;493.95;3.7558;4.0169
9;491.74;3.6670;3.9377
10;492.16;3.5911;3.8633
11;491.94;3.5239;3.7939
12;493.21;3.4648;3.7444
13;492.97;3.4128;3.7012
14;492.60;3.3668;3.6627
15;492.97;3.3257;3.6184
16;489.82;3.2887;3.5966
17;492.26;3.2556;3.5613
18;490.80;3.2249;3.5326
19;492.15;3.1975;3.5177
20;491.88;3.1721;3.4917
21;490.90;3.1490;3.4678
22;492.45;3.1276;3.4593
23;492.25;3.1072;3.4463
24;492.90;3.0891;3.4295
25;492.55;3.0721;3.4155
26;492.32;3.0563;3.4001
27;492.43;3.0413;3.3904
28;490.69;3.0271;3.3764
29;490.71;3.0143;3.3685
30;490.66;3.0018;3.3586
31;492.04;2.9902;3.3515
32;490.13;2.9784;3.3470
33;491.52;2.9683;3.3377
34;493.16;2.9582;3.3215
35;491.02;2.9481;3.3218
36;491.10;2.9396;3.3158
37;492.29;2.9306;3.3072
38;498.62;2.9222;3.3094
39;497.08;2.9140;3.3087
40;501.47;2.9065;3.3002
41;501.76;2.8992;3.2914
42;500.54;2.8916;3.2921
43;504.36;2.8849;3.2786
44;503.45;2.8783;3.2804
45;498.61;2.8716;3.2683
46;497.81;2.8655;3.2685
47;499.75;2.8593;3.2689
48;499.51;2.8536;3.2665
49;498.90;2.8478;3.2592
50;505.52;2.8429;3.2610
51;502.83;2.8377;3.2551
52;502.23;2.8325;3.2503
53;502.55;2.8276;3.2434
54;497.66;2.8229;3.2533
55;499.54;2.8182;3.2508
56;501.59;2.8137;3.2417
57;498.65;2.8091;3.2302
58;503.54;2.8049;3.2437
59;497.90;2.8009;3.2366
60;500.87;2.7962;3.2349
61;501.85;2.7928;3.2255
62;497.67;2.7889;3.2292
63;499.59;2.7851;3.2224
64;500.85;2.7812;3.2249
65;501.50;2.7781;3.2197
66;502.38;2.7739;3.2173
67;500.75;2.7708;3.2177
68;499.45;2.7672;3.2176
69;498.63;2.7642;3.2144
70;499.58;2.7609;3.2188
71;501.21;2.7575;3.2119
72;500.50;2.7544;3.2053
73;501.40;2.7517;3.2057
74;497.62;2.7479;3.2151
75;502.09;2.7453;3.2076
76;498.72;2.7422;3.2089
77;498.35;2.7398;3.2028
78;499.08;2.7371;3.2037
79;500.77;2.7344;3.2081
80;502.34;2.7312;3.2039
81;500.73;2.7290;3.2001
82;501.90;2.7263;3.1921
83;501.80;2.7237;3.1983
84;501.13;2.7212;3.1972
85;497.77;2.7191;3.1919
86;497.63;2.7164;3.1907
87;499.52;2.7143;3.1842
88;505.37;2.7117;3.1979
89;497.48;2.7093;3.1886
90;497.60;2.7067;3.1837
91;514.94;2.7049;3.1931
92;524.14;2.7026;3.1899
93;515.74;2.7000;3.1850
94;507.60;2.6981;3.1882
95;503.29;2.6961;3.1857
96;504.57;2.6938;3.1881
97;506.07;2.6921;3.1857
98;502.44;2.6900;3.1855
99;496.65;2.6878;3.1795
100;484.80;2.6860;3.1886
